0.46,0.46,0.11,0.51,0.21,0.16
0.23,0.46,0.54,0.04,0.74,0.26
0.11,0.99,0.31,0.24,0.84,0.74
0.11,0.99,0.16,0.36,0.31,0.11
0.06,0.21,0.54,0.04,0.84,0.74
0.76,0.16,0.94,0.31,0.21,0.41
0.46,0.76,0.41,0.01,0.04,0.16
0.39,0.01,0.41,0.93,0.11,0.16
0.74,0.14,0.89,0.31,0.21,0.36
0.44,0.61,0.96,0.69,0.34,0.59
0.21,0.36,0.01,0.96,0.21,0.16
0.31,0.09,0.79,0.44,0.54,0.64
0.51,0.56,0.86,0.66,0.44,0.34
0.11,0.99,0.84,0.16,0.86,0.74
0.54,0.44,0.54,0.04,0.84,0.79
0.29,0.46,0.81,0.11,0.61,0.81
0.46,0.64,0.51,0.96,0.21,0.39
0.79,0.26,0.56,0.89,0.06,0.59
0.44,0.61,0.01,0.69,0.34,0.89
0.89,0.46,0.88,0.76,0.96,0.86
0.46,0.69,0.69,0.96,0.21,0.09
0.06,0.21,0.16,0.99,0.24,0.11
0.11,0.99,0.4,0.9,0.46,0.51
0.46,0.46,0.89,0.89,0.01,0.16
0.79,0.26,0.56,0.96,0.12,0.89
0.46,0.46,0.66,0.19,0.76,0.16
0.49,0.71,0.11,0.51,0.21,0.44
0.21,0.36,1.05,0.96,0.21,0.16
0.46,0.39,0.89,1.07,0.21,0.2
0.46,-0.01,0.38,0.01,0.04,0.16
0.64,0.01,0.14,0.51,0.91,-0.03
0.46,0.51,0.86,1.07,0.21,0.2
0.21,1.12,0.11,0.86,0.36,0.16
0.64,-0.01,0.95,0.51,0.91,-0.03
-0.02,0.21,0.19,0.74,0.59,0.73
0.46,0.91,0.94,1.07,0.21,0.2
0.64,0.01,0.14,0.72,0.21,-0.03
0.21,0.36,1.05,0.96,0.21,0.09
0.46,0.74,0.66,1.07,0.21,0.2
0.81,0.76,0.89,0.96,0.21,0.51
0.46,0.54,0.26,0.96,0.46,0.99
0.51,0.56,0.89,0.96,0.15,0.16
0.46,0.46,0.59,0.86,0.36,0.99
0.74,0.14,0.56,0.89,0.06,0.36
0.79,0.26,0.81,0.96,0.11,0.89
0.79,0.14,0.81,0.96,0.11,0.89
0.74,0.26,0.56,0.96,0.12,0.36
0.51,0.56,0.56,0.96,0.36,0.99
0.79,0.26,0.59,0.86,0.12,0.89
0.23,0.54,0.26,0.96,0.21,0.99
0.81,0.46,0.89,0.96,0.46,0.51
0.46,0.76,0.89,0.96,0.21,0.36
0.74,0.14,0.81,0.96,0.11,0.99
0.74,0.14,0.81,0.96,0.15,0.16
0.36,0.46,0.89,0.96,0.11,0.32
9.13E-01,1.12E-01,9.62E-01,2.87E-01,6.37E-01,1.38E-01
6.63E-01,3.75E-02,7.38E-01,6.13E-01,7.88E-01,1.25E-02
0.74000001,4.60E-01,0.660000026,0.189999998,0.109999999,0.360000014
9.13E-01,1.12E-01,9.62E-01,2.87E-01,5.00E-01,5.00E-01
6.63E-01,3.75E-02,7.38E-01,6.13E-01,5.00E-01,5.00E-01
0.74000001,4.60E-01,0.660000026,0.189999998,5.00E-01,5.00E-01
1,0,0,0,0,0
1,0,0,0,0,0
