MDS_Dim1,MDS_Dim2,Output
-0.3484947943967151,-0.1549922190329006,19.8
-0.35960526678224564,-0.19134059061295824,18.6
-0.42915329675200936,-0.15794749275332534,19.7
-0.2936956031938083,-0.18278158341066564,17.1
-0.3612693499092361,-0.1778386969843256,18.2
-0.3612693499092361,-0.1778386969843256,18.2
-0.029716310563337064,0.5315219327560073,32.5
-0.6872209124004169,0.13089470709672527,16.2
-0.01909034686702613,-0.2037041596830819,23.4
-0.37201009996469686,-0.31934157596717944,21.8
-0.18961194241496238,0.032729206296146625,14.6
-0.3266068928388711,0.21522175785532133,34.1
0.446735444456277,-0.6136372869225513,15.1
-0.10463803294363812,0.6604281513429218,20.4
0.5438160252757672,0.4325892222136911,8.66
0.45508738628852047,0.37536531987040084,11.3
0.2163503656851376,-0.4122312523887545,3.61
0.005189728919248432,0.7216552276325334,18.0
0.10286908655755052,0.8944729711124121,-7.03
-0.2936956031938083,-0.18278158341066575,16.9
-0.3816180359134069,-0.15258562221946295,18.9
0.29878045139315296,0.3920113455916401,26.6
-0.08787752140131878,0.49618072465385676,37.4
0.21220701741549924,0.41893441114942787,0.0283
-0.6575211438261143,0.07948953201963363,12.1
0.40514258517691315,0.26247384697996634,-22.2
0.39355502576115836,-0.35415022585707306,-28.8
0.4800586562346737,0.636067548670733,-20.8
0.5355295370199328,0.029842346932467873,-19.9
0.28785881892737997,-0.4312086396026802,-25.6
-0.0662835382637998,0.21926536362669619,-23.3
0.165635346884538,0.4578325077555459,-27.0
-0.5641119485727774,0.078165873690069,-17.4
0.4571144279239661,0.010710590419122262,-26.0
0.4840288972978665,0.503721630500485,-42.2
0.5296874104813054,-0.3760162108349506,-38.7
0.7090405292001223,0.15063323839085496,-1.41
0.3555895401762222,-0.23189547066523522,11.2
-0.47583602000249753,-0.3086551372252085,24.2
-0.07048306502135517,-0.1329299104882667,18.4
0.7090286378597291,0.15066296372151503,24.9
0.34905965315729465,0.5490744938497198,27.0
-0.381618035913407,-0.15258562221946304,19.1
0.4571144279239661,0.0107105904191223,16.6
-0.3069977534709359,-0.30357674707074844,21.3
0.008838047718219881,0.6398478949391034,21.5
0.2439244407942781,0.49101063760733454,16.8
-0.14172928571030116,0.011633354461747732,13.9
-0.5318430043416621,0.06117696138346089,17.3
0.16563534688453888,0.4578325077555455,20.2
-0.32627316638805026,-0.39574278731036533,14.9
0.35464808080984617,0.24856172590895947,23.4
0.6706188874802426,-0.10733737007005453,8.94
0.35707113824769515,-0.21304858905278298,13.1
0.21452219935358052,0.4298326341307223,19.0
-0.024991737326310645,-0.6487149700479625,21.5
0.24133544439822577,-0.03440922055551213,25.0
0.6945982367327134,0.30193134892377976,11.2
0.4571144279239661,0.010710590419122132,16.6
-0.352529858040066,-0.1778647522064326,18.1
-0.38161803591340693,-0.15258562221946295,19.1
0.560234767469265,-0.08331206953759464,13.9
-0.4562997495491724,0.48482347847755436,28.2
-0.49802538999754753,-0.445727613234887,27.1
